,region,place,cost_nomad,cost_coworking,cost_expat,coffee_in_cafe,cost_beer,places_to_work,free_wifi_available,internet_speed,freedom_score,peace_score,safety,fragile_states_index,press_freedom_index,female_friendly,lgbt_friendly,friendly_to_foreigners,racism,leisure,life_score,nightlife,weed
763,Africa,Kampala,1203.0,126.98,771.0,1.13,1.13,0.8,0.0,3.0,0.4,0.2,0.4,97.7,32.58,0.4,0.4,0.6,0.0,0.6,0.4,0.4,0.0
764,Americas,Tegucigalpa,2472.0,249.16,1330.0,1.98,1.98,0.2,0.2,5.0,0.2,0.4,0.2,79.8,44.62,0.6,0.2,0.4,0.6,0.4,0.41,0.2,0.0
765,Asia,Dushanbe,1850.0,51.58,595.0,0.63,0.63,0.6,0.6,4.0,0.2,0.4,0.4,83.8,50.34,0.6,0.4,0.6,0.0,0.6,0.5,0.8,0.0
766,Asia,Isfahan,2234.0,262.33,500.0,0.0,0.0,0.2,0.2,3.0,0.2,0.4,0.4,86.9,66.52,0.2,0.2,0.4,0.2,0.2,0.45,0.2,0.0
767,Asia,Tehran,5286.0,304.25,1540.0,4.99,4.99,0.4,0.4,2.0,0.2,0.4,0.6,86.9,66.52,0.2,0.2,0.8,0.4,0.8,0.55,0.2,0.0
768,Africa,Harare,2844.0,100.0,1624.0,5.0,5.0,0.2,0.2,2.0,0.2,0.2,0.4,100.5,40.41,0.2,0.2,0.6,0.0,0.6,0.31,0.4,0.0
769,Africa,Conakry,1789.0,0.01,797.0,2.87,2.87,0.4,0.0,1.0,0.4,0.2,0.4,103.8,33.08,0.6,0.2,0.6,0.6,0.4,0.32,0.2,0.0
770,Africa,Yaounde,2103.0,453.36,1366.0,1.28,1.28,0.4,0.4,3.0,0.2,0.2,0.4,97.8,40.53,0.2,0.2,0.4,0.2,0.2,0.35,0.4,0.0
771,Africa,Luanda,4732.0,139.71,4020.0,6.58,6.58,1.0,0.6,5.0,0.4,0.2,0.2,90.5,39.89,0.4,0.6,1.0,0.0,0.8,0.28,0.6,0.0
772,Africa,Huambo,4119.0,204.1,4104.0,0.84,0.84,0.2,0.4,1.0,0.4,0.2,0.4,90.5,39.89,0.6,0.2,0.6,0.4,0.4,0.39,0.6,0.0
773,Africa,Khartoum,780.0,125.24,1032.0,1.54,1.54,0.4,1.0,1.0,0.2,0.2,0.4,111.5,72.53,0.4,0.2,0.8,0.0,0.4,0.22,0.4,0.0
774,Americas,Caracas,2507.0,200.0,1356.0,2.5,2.5,0.2,0.4,3.0,0.2,0.4,0.2,81.6,44.77,0.4,0.4,0.6,0.6,0.4,0.31,0.6,0.0
775,Oceania,Port Moresby,3461.0,243.51,2463.0,3.0,3.0,0.2,0.2,2.0,0.6,0.4,0.2,86.2,25.81,0.2,0.2,0.4,0.0,0.4,0.31,0.2,0.0
776,Africa,Freetown,2833.0,288.58,2013.0,2.04,2.04,0.4,0.2,0.0,0.6,0.2,0.2,91.0,29.94,0.2,0.2,0.4,0.4,0.2,0.22,0.2,0.0
777,Africa,Tripoli,2525.0,201.55,1148.0,2.48,2.48,0.4,0.4,3.0,0.2,0.2,0.2,96.4,57.89,0.2,0.2,0.8,0.0,0.4,0.22,0.2,0.0
778,Asia,Damascus,1162.0,215.73,1079.0,2.65,2.65,0.4,0.2,2.0,0.2,0.2,0.2,110.8,81.35,0.2,0.2,0.2,0.0,0.2,0.01,0.2,0.0
779,Asia,Pyongyang,5009.0,360.0,1441.0,5.0,5.0,0.2,0.2,1.0,0.2,0.2,0.2,93.9,83.76,0.2,0.2,0.2,0.0,0.2,0.14,0.4,0.0
